date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,11.749999999848205,10.999999999870777,10.999999999844931,11.999999999844933,10.999999999844931,11.999999999844933,10.999999999844931,11.999999999844933,10.999999999844931,12.999999999819087,10.999999999844931,12.999999999819087,9.999999999844931,12.999999999844931,9.999999999844931,12.999999999844931,9.999999999844931,13.299999999837162,8.999999999870777,13.999999999819087,8.999999999844931,13.999999999844933,8.999999999844931,14.999999999819087,7.999999999870776,14.999999999819087,7.999999999870776,14.999999999819087,7.999999999844931,15.999999999819087,6.999999999870776,15.999999999819087,6.999999999870776,16.999999999819085,5.99999999988176,17.99999999981909,5.949999999872069,18.049999999844943,4.9999999998966205,19.524999999870754,3.9999999999224656,20.26249999989661
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
