date,mean,median,low_5,up_5,low_10,up_10,low_15,up_15,low_20,up_20,low_25,up_25,low_30,up_30,low_35,up_35,low_40,up_40,low_45,up_45,low_50,up_50,low_55,up_55,low_60,up_60,low_65,up_65,low_70,up_70,low_75,up_75,low_80,up_80,low_85,up_85,low_90,up_90,low_95,up_95,low_97.5,up_97.5,add
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,10.682786290183259,10.496952956849924,10.145916220409928,11.100995781028216,10.04741667610569,11.208563758725127,9.951021979096776,11.320242429535572,9.606324391369192,11.6867041048251,9.512929663491363,12.027483972651364,8.920445934469022,12.43726463588677,8.578471766313452,12.5734230329122,8.486582204751047,12.793595886208319,8.14431130564369,13.124523578718605,7.551128726291228,13.793439020303458,7.45640641553065,14.228280428314102,7.10936841980525,14.433031136540695,6.75901068277112,14.913290019248848,6.403964281579582,15.677290049328807,6.042243259870691,16.23786649108379,5.670730468069813,17.116681939871718,4.890222162764825,18.248498206087056,4.608177928280286,19.320410330476577,3.898661103824462,21.755632949778636,3.226211577354499,23.85398244541068,0.0
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
