,year,mmwr_week,Reporting Area,"Meningococcal disease, Other serogroups; Current week","Meningococcal disease, Other serogroups; Previous 52 weeks Max �","Meningococcal disease, Other serogroups; Cum YTD 2020 �","Meningococcal disease, Other serogroups; Cum YTD 2019 �","Meningococcal disease, Unknown serogroup; Current week","Meningococcal disease, Unknown serogroup; Previous 52 weeks Max �","Meningococcal disease, Unknown serogroup; Cum YTD 2020 �","Meningococcal disease, Unknown serogroup; Cum YTD 2019 �",column labels (in same order that data fields appears in each record below):
14,2020,1,"U.S. Residents, excluding U.S. Territories",0,2,0,0,3,23,3,4,
15,2020,1,New England,0,1,0,0,0,1,0,0,
16,2020,1,Connecticut,0,0,0,0,0,0,0,0,
17,2020,1,Maine,0,1,0,0,0,0,0,0,
18,2020,1,Massachusetts,0,0,0,0,0,1,0,0,
19,2020,1,New Hampshire,0,0,0,0,0,0,0,0,
20,2020,1,Rhode Island,0,1,0,0,0,0,0,0,
21,2020,1,Vermont,0,0,0,0,0,0,0,0,
22,2020,1,Middle Atlantic,0,1,0,0,0,4,0,0,
23,2020,1,New Jersey,0,0,0,0,0,2,0,0,
24,2020,1,New York (excluding New York City),0,1,0,0,0,0,0,0,
25,2020,1,New York City,0,0,0,0,0,1,0,0,
26,2020,1,Pennsylvania,0,0,0,0,0,3,0,0,
27,2020,1,East North Central,0,1,0,0,1,2,1,0,
28,2020,1,Illinois,0,1,0,0,0,0,0,0,
29,2020,1,Indiana,0,1,0,0,0,0,0,0,
30,2020,1,Michigan,0,0,0,0,0,2,0,0,
31,2020,1,Ohio,0,0,0,0,1,1,1,0,
32,2020,1,Wisconsin,0,0,0,0,0,0,0,0,
33,2020,1,West North Central,0,1,0,0,0,2,0,0,
34,2020,1,Iowa,0,1,0,0,0,1,0,0,
35,2020,1,Kansas,0,0,0,0,0,1,0,0,
36,2020,1,Minnesota,0,0,0,0,0,1,0,0,
37,2020,1,Missouri,0,0,0,0,0,2,0,0,
38,2020,1,Nebraska,0,1,0,0,0,1,0,0,
39,2020,1,North Dakota,0,0,0,0,0,0,0,0,
40,2020,1,South Dakota,0,0,0,0,0,0,0,0,
41,2020,1,South Atlantic,0,1,0,0,2,4,2,0,
42,2020,1,Delaware,0,0,0,0,0,0,0,0,
43,2020,1,District of Columbia,0,0,0,0,0,1,0,0,
44,2020,1,Florida,0,0,0,0,1,2,1,0,
45,2020,1,Georgia,0,0,0,0,0,2,0,0,
46,2020,1,Maryland,0,1,0,0,1,0,1,0,
47,2020,1,North Carolina,0,0,0,0,0,1,0,0,
48,2020,1,South Carolina,0,0,0,0,0,1,0,0,
49,2020,1,Virginia,0,1,0,0,0,1,0,0,
50,2020,1,West Virginia,0,0,0,0,0,0,0,0,
51,2020,1,East South Central,0,1,0,0,0,1,0,0,
52,2020,1,Alabama,0,0,0,0,0,0,0,0,
53,2020,1,Kentucky,0,0,0,0,0,1,0,0,
54,2020,1,Mississippi,0,0,0,0,0,1,0,0,
55,2020,1,Tennessee,0,1,0,0,0,0,0,0,
56,2020,1,West South Central,0,1,0,0,0,2,0,0,
57,2020,1,Arkansas,0,1,0,0,0,1,0,0,
58,2020,1,Louisiana,0,0,0,0,0,1,0,0,
59,2020,1,Oklahoma,0,0,0,0,0,1,0,0,
60,2020,1,Texas,0,1,0,0,0,2,0,0,
61,2020,1,Mountain,0,1,0,0,0,2,0,0,
62,2020,1,Arizona,0,0,0,0,0,0,0,0,
63,2020,1,Colorado,0,0,0,0,0,2,0,0,
64,2020,1,Idaho,0,1,0,0,0,1,0,0,
65,2020,1,Montana,0,0,0,0,0,1,0,0,
66,2020,1,Nevada,0,0,0,0,0,0,0,0,
67,2020,1,New Mexico,0,0,0,0,0,1,0,0,
68,2020,1,Utah,0,0,0,0,0,0,0,0,
69,2020,1,Wyoming,0,0,0,0,0,0,0,0,
70,2020,1,Pacific,0,0,0,0,0,21,0,4,
71,2020,1,Alaska,0,0,0,0,0,0,0,0,
72,2020,1,California,0,0,0,0,0,3,0,3,
73,2020,1,Hawaii,0,0,0,0,0,1,0,0,
74,2020,1,Oregon,0,0,0,0,0,1,0,0,
75,2020,1,Washington,0,0,0,0,0,20,0,1,
76,2020,1,U.S. Territories,0,0,0,0,0,0,0,0,
77,2020,1,American Samoa,0,0,0,0,0,0,0,0,
78,2020,1,Commonwealth of Northern Mariana Islands,0,0,0,0,0,0,0,0,
79,2020,1,Guam,0,0,0,0,0,0,0,0,
80,2020,1,Puerto Rico,0,0,0,0,0,0,0,0,
81,2020,1,U.S. Virgin Islands,0,0,0,0,0,0,0,0,
82,2020,1,Non-U.S. Residents,0,0,0,0,0,0,0,0,
83,2020,1,Total,0,2,0,0,3,23,3,4,
14,2020,2,"U.S. Residents, excluding U.S. Territories",1,2,1,0,2,9,6,6,
15,2020,2,New England,0,1,0,0,0,1,0,0,
16,2020,2,Connecticut,0,0,0,0,0,0,0,0,
